0,3.1415927
0,1.5707963,3.1415927
0,1.3026628,1.8389298,3.1415927
0,1.1549407,1.9866519,3.1415927
0,1.0565695,2.0850232,3.1415927
0,0.98448436,2.1571083,3.1415927
0,0.92846898,2.2131237,3.1415927
0,0.88317014,2.2584225,3.1415927
0,0.84546247,2.2961302,3.1415927
0,0.81337667,2.328216,3.1415927
0,0.78559929,2.3559934,3.1415927
0,0.76121466,2.380378,3.1415927
0,0.73956144,2.4020312,3.1415927
0,0.72014792,1.5707963,2.4214447,3.1415927
0,0.70259955,1.5183885,2.4389931,3.1415927
0,0.68662511,1.5707963,2.4549675,3.1415927
0,0.67199413,1.6170291,2.4695985,3.1415927
0,0.65852141,1.5707963,2.4830712,3.1415927
0,0.64605611,1.529436,2.4955365,3.1415927
0,0.63447393,1.5707963,2.5071187,3.1415927
0,0.62367132,1.6082137,2.5179213,3.1415927
0,0.61356122,1.5707963,2.5280314,3.1415927
0,0.6040698,1.6049574,2.5375229,3.1415927
0,0.59513394,1.5707963,2.5464587,3.1415927
0,0.58669935,1.6022226,2.5548933,3.1415927
0,0.57871897,1.5707963,2.5628737,3.1415927
0,0.57115182,1.5998934,2.5704408,3.1415927
0,0.56396197,1.5707963,2.5776307,3.1415927
0,0.55711781,1.5978856,2.5844748,3.1415927
0,0.55059136,1.5707963,2.5910013,3.1415927
0,0.54435777,1.5961372,2.5972349,3.1415927
0,0.53839485,1.5707963,2.6031978,3.1415927
0,0.53268276,1.5946008,2.6089099,3.1415927
0,0.52720366,1.2350643,1.9065284,2.614389,3.1415927
0,0.52194145,1.2201788,1.9214138,2.6196512,3.1415927
0,0.51688161,1.20597,1.9356226,2.624711,3.1415927
0,0.51201092,1.2406562,1.9009365,2.6295817,3.1415927
0,0.50731739,1.2268577,1.914735,2.6342753,3.1415927
0,0.50279008,1.2136396,1.927953,2.6388026,3.1415927
0,0.49841898,1.2009606,1.940632,2.6431737,3.1415927
0,0.49419492,1.232534,1.9090587,2.6473977,3.1415927
0,0.49010949,1.2201788,1.9214138,2.6514832,3.1415927
0,0.48615493,1.2082934,1.9332992,2.6554377,3.1415927
0,0.48232411,1.1968475,1.9447452,2.6592685,3.1415927
0,0.47861042,1.2258209,1.9157718,2.6629822,3.1415927
0,0.47500776,1.2146368,1.9269559,2.6665849,3.1415927
0,0.47151045,1.2038407,1.937752,2.6700822,3.1415927
0,0.46811323,1.1934097,1.9481829,2.6734794,3.1415927
0,0.46481122,1.2201788,1.9214138,2.6767814,3.1415927
0,0.46159984,1.2099638,1.9316289,2.6799928,3.1415927
0,0.45847485,1.2000746,1.9415181,2.6831178,3.1415927
0,0.45543227,1.1904935,1.9510991,2.6861604,3.1415927
0,0.45246838,1.1812043,1.9603884,2.6891243,3.1415927
0,0.44957969,1.20597,1.9356226,2.692013,3.1415927
0,0.44676294,1.1968475,1.9447452,2.6948297,3.1415927
0,0.44401505,1.1879885,1.9536041,2.6975776,3.1415927
0,0.44133314,1.1793801,1.9622126,2.7002595,3.1415927
0,0.4387145,1.2025173,1.9390753,2.7028782,3.1415927
0,0.43615656,1.1940514,1.9475413,2.7054361,3.1415927
0,0.43365691,1.1858134,1.9557793,2.7079357,3.1415927
0,0.43121326,1.1777929,1.9637998,2.7103794,3.1415927
0,0.42882347,1.1995026,1.94209,2.7127692,3.1415927
0,0.4264855,1.1916053,1.9499874,2.7151072,3.1415927
0,0.4241974,1.183907,1.9576856,2.7173952,3.1415927
