1
1,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,3,4,1
1,4,4,1
1,4,5,1
1,5,5,1
1,5,6,1
1,6,6,1
1,7,6,1
1,7,7,1
1,5,5,5,1
1,5,6,5,1
1,5,7,5,1
1,5,8,5,1
1,6,7,6,1
1,6,8,6,1
1,6,9,6,1
1,6,10,6,1
1,7,9,7,1
1,7,10,7,1
1,7,11,7,1
1,5,8,8,5,1
1,5,8,9,5,1
1,6,8,8,6,1
1,6,8,9,6,1
1,6,9,9,6,1
1,6,9,10,6,1
1,6,10,10,6,1
1,6,10,11,6,1
1,7,10,10,7,1
1,7,11,10,7,1
1,7,11,11,7,1
1,7,11,12,7,1
1,7,12,12,7,1
1,5,9,11,9,5,1
1,6,9,10,9,6,1
1,6,9,11,9,6,1
1,6,9,12,9,6,1
1,6,10,11,10,6,1
1,6,10,12,10,6,1
1,6,11,11,11,6,1
1,6,11,12,11,6,1
1,6,11,13,11,6,1
1,7,11,12,11,7,1
1,7,11,13,11,7,1
1,7,11,14,11,7,1
1,7,12,13,12,7,1
1,7,12,14,12,7,1
1,7,12,15,12,7,1
1,6,9,12,12,9,6,1
1,6,9,12,13,9,6,1
1,6,10,12,12,10,6,1
1,6,10,12,13,10,6,1
1,6,10,13,13,10,6,1
1,6,11,12,13,11,6,1
1,6,11,13,13,11,6,1
1,6,11,13,14,11,6,1
1,6,11,14,14,11,6,1
