0,3.1415927
0,1.5707963,3.1415927
0,1.4140233,1.7275694,3.1415927
0,1.3260573,1.8155353,3.1415927
0,1.2662998,1.8752928,3.1415927
0,1.2216986,1.9198941,3.1415927
0,1.1864599,1.9551328,3.1415927
0,1.1575311,1.9840615,3.1415927
0,1.133118,2.0084746,3.1415927
0,1.1120818,2.0295109,3.1415927
0,1.0936575,2.0479352,3.1415927
0,1.0773081,2.0642845,3.1415927
0,1.062643,2.0789496,3.1415927
0,1.04937,2.0922227,3.1415927
0,1.0372648,2.1043278,3.1415927
0,1.0261523,2.1154404,3.1415927
0,1.0158928,2.1256999,3.1415927
0,1.0063735,2.1352191,3.1415927
0,0.99750209,2.1440906,3.1415927
0,0.989202,2.1523907,3.1415927
0,0.98140916,2.1601835,3.1415927
0,0.97406941,2.1675232,3.1415927
0,0.96713661,2.174456,3.1415927
0,0.96057115,2.1810215,3.1415927
0,0.95433877,2.1872539,3.1415927
0,0.94840966,2.193183,3.1415927
0,0.94275776,2.1988349,3.1415927
0,0.93736011,2.2042325,3.1415927
0,0.93219643,2.2093962,3.1415927
0,0.92724871,2.2143439,3.1415927
0,0.92250088,2.2190918,3.1415927
0,0.91793856,2.2236541,3.1415927
0,0.91354883,2.2280438,3.1415927
0,0.90932001,2.2322726,3.1415927
0,0.90524157,2.2363511,3.1415927
0,0.90130393,2.2402887,3.1415927
0,0.89749838,2.2440943,3.1415927
0,0.89381698,2.2477757,3.1415927
0,0.89025246,2.2513402,3.1415927
0,0.88679815,2.2547945,3.1415927
0,0.88344792,2.2581447,3.1415927
0,0.88019612,2.2613965,3.1415927
0,0.87703755,2.2645551,3.1415927
0,0.87396739,2.2676253,3.1415927
0,0.87098118,2.2706115,3.1415927
0,0.86807476,2.2735179,3.1415927
0,0.8652443,2.2763484,3.1415927
0,0.8624862,1.5707963,2.2791065,3.1415927
0,0.85979712,1.5614659,2.2817955,3.1415927
0,0.85717393,1.5707963,2.2844187,3.1415927
0,0.85461371,1.5797608,2.2869789,3.1415927
0,0.85211372,1.5707963,2.2894789,3.1415927
0,0.84967139,1.5794224,2.2919213,3.1415927
0,0.84728432,1.5707963,2.2943083,3.1415927
0,0.84495022,1.5791087,2.2966424,3.1415927
0,0.84266697,1.5707963,2.2989257,3.1415927
0,0.84043256,1.578817,2.3011601,3.1415927
0,0.83824509,1.5707963,2.3033476,3.1415927
0,0.83610277,1.5785451,2.3054899,3.1415927
0,0.8340039,1.5707963,2.3075888,3.1415927
0,0.83194687,1.578291,2.3096458,3.1415927
0,0.82993018,1.5707963,2.3116625,3.1415927
0,0.82795238,1.578053,2.3136403,3.1415927
0,0.8260121,1.5707963,2.3155805,3.1415927
