1
1,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1,15,16,1
1,16,16,1
1,16,17,1
1,17,17,1
1,17,18,1
1,18,18,1
1,18,19,1
1,19,19,1
1,19,20,1
1,20,20,1
1,20,21,1
1,21,21,1
1,21,22,1
1,22,22,1
1,22,23,1
1,23,23,1
1,23,24,1
1,24,24,1
1,24,25,1
1,25,25,1
1,25,26,1
1,26,26,1
1,26,27,1
1,27,27,1
1,27,28,1
1,28,28,1
1,28,29,1
1,29,29,1
1,29,30,1
1,30,30,1
1,30,31,1
1,31,31,1
