0,3.1415927
0,1.5707963,3.1415927
0,1.4234604,1.7181322,3.1415927
0,1.340704,1.8008886,3.1415927
0,1.2844225,1.8571702,3.1415927
0,1.2423724,1.8992203,3.1415927
0,1.2091185,1.9324741,3.1415927
0,1.1817964,1.9597963,3.1415927
0,1.1587215,1.9828711,3.1415927
0,1.1388246,2.002768,3.1415927
0,1.1213871,2.0202056,3.1415927
0,1.1059041,2.0356886,3.1415927
0,1.0920084,2.0495842,3.1415927
0,1.0794252,2.0621674,3.1415927
0,1.0679437,2.073649,3.1415927
0,1.0573987,2.0841939,3.1415927
0,1.0476589,2.0939337,3.1415927
0,1.0386182,2.1029745,3.1415927
0,1.0301894,2.1114033,3.1415927
0,1.0223004,2.1192922,3.1415927
0,1.0148909,2.1267018,3.1415927
0,1.0079098,2.1336829,3.1415927
0,1.0013135,2.1402791,3.1415927
0,0.99506479,2.1465279,3.1415927
0,0.98913123,2.1524614,3.1415927
0,0.98348473,2.1581079,3.1415927
0,0.97810066,2.163492,3.1415927
0,0.97295738,2.1686353,3.1415927
0,0.96803571,2.1735569,3.1415927
0,0.96331865,2.178274,3.1415927
0,0.95879102,2.1828016,3.1415927
0,0.95443922,2.1871534,3.1415927
0,0.95025104,2.1913416,3.1415927
0,0.94621545,2.1953772,3.1415927
0,0.94232248,2.1992702,3.1415927
0,0.93856308,2.2030296,3.1415927
0,0.93492901,2.2066636,3.1415927
0,0.93141275,2.2101799,3.1415927
0,0.92800743,2.2135852,3.1415927
0,0.92470673,2.2168859,3.1415927
0,0.92150486,2.2200878,3.1415927
0,0.91839647,2.2231962,3.1415927
0,0.91537662,2.226216,3.1415927
0,0.91244077,2.2291519,3.1415927
0,0.90958467,2.232008,3.1415927
0,0.9068044,2.2347882,3.1415927
0,0.90409633,2.2374963,3.1415927
0,0.90145704,2.2401356,3.1415927
0,0.89888336,2.2427093,3.1415927
0,0.89637234,2.2452203,3.1415927
0,0.8939212,2.2476715,3.1415927
0,0.89152735,2.2500653,3.1415927
0,0.88918835,2.2524043,3.1415927
0,0.88690191,2.2546907,3.1415927
0,0.88466589,2.2569268,3.1415927
0,0.88247826,1.5707963,2.2591144,3.1415927
0,0.88033711,1.5783322,2.2612555,3.1415927
0,0.87824064,1.5707963,2.263352,3.1415927
0,0.87618715,1.5780768,2.2654055,3.1415927
0,0.87417503,1.5707963,2.2674176,3.1415927
0,0.87220277,1.577838,2.2693899,3.1415927
0,0.87026891,1.5707963,2.2713237,3.1415927
0,0.8683721,1.5776144,2.2732206,3.1415927
0,0.86651104,1.5707963,2.2750816,3.1415927
