0,3.1415927
0,1.5707963,3.1415927
0,1.3427512,1.7988415,3.1415927
0,1.2161099,1.9254828,3.1415927
0,1.1310405,2.0105522,3.1415927
0,1.0682005,2.0733922,3.1415927
0,1.0190133,2.1225793,3.1415927
0,0.97897357,2.1626191,3.1415927
0,0.94544292,2.1961497,3.1415927
0,0.91675362,2.224839,3.1415927
0,0.89178976,2.2498029,3.1415927
0,0.86977096,2.2718217,3.1415927
0,0.85013186,2.2914608,3.1415927
0,0.83245087,2.3091418,3.1415927
0,0.81640595,2.3251867,3.1415927
0,0.80174599,2.3398467,3.1415927
0,0.78827177,2.3533209,3.1415927
0,0.77582278,2.3657699,3.1415927
0,0.76426797,2.3773247,3.1415927
0,0.7534991,1.5707963,2.3880936,3.1415927
0,0.74342577,1.6025584,2.3981669,3.1415927
0,0.73397182,1.5707963,2.4076208,3.1415927
0,0.72507254,1.5417986,2.4165201,3.1415927
0,0.71667249,1.5707963,2.4249202,3.1415927
0,0.70872386,1.5441202,2.4328688,3.1415927
0,0.70118516,1.5707963,2.4404075,3.1415927
0,0.69402016,1.5460974,2.4475725,3.1415927
0,0.68719708,1.5707963,2.4543956,3.1415927
0,0.68068787,1.5478017,2.4609048,3.1415927
0,0.67446767,1.5707963,2.467125,3.1415927
0,0.66851437,1.549286,2.4730783,3.1415927
0,0.6628082,1.5707963,2.4787845,3.1415927
0,0.65733143,1.5505902,2.4842612,3.1415927
0,0.65206812,1.5707963,2.4895245,3.1415927
0,0.64700385,1.5517453,2.4945888,3.1415927
0,0.64212559,1.5707963,2.4994671,3.1415927
0,0.63742147,1.5888173,2.5041712,3.1415927
0,0.6328807,1.5707963,2.508712,3.1415927
0,0.62849343,1.5536998,2.5130992,3.1415927
0,0.62425062,1.5707963,2.517342,3.1415927
0,0.620144,1.554534,2.5214487,3.1415927
0,0.61616596,1.5707963,2.5254267,3.1415927
0,0.61230947,1.5552906,2.5292832,3.1415927
0,0.60856806,1.5707963,2.5330246,3.1415927
0,0.60493574,1.5559799,2.5366569,3.1415927
0,0.60140694,1.5707963,2.5401857,3.1415927
0,0.59797652,1.5566105,2.5436161,3.1415927
0,0.59463968,1.5707963,2.546953,3.1415927
0,0.59139194,1.5571896,2.5502007,3.1415927
0,0.58822916,1.5707963,2.5533635,3.1415927
0,0.58514744,1.5577233,2.5564452,3.1415927
0,0.58214313,1.5707963,2.5594495,3.1415927
0,0.57921283,1.5582167,2.5623798,3.1415927
0,0.57635334,1.5707963,2.5652393,3.1415927
0,0.57356166,1.5586742,2.568031,3.1415927
0,0.57083497,1.5707963,2.5707577,3.1415927
0,0.56817062,1.5590996,2.573422,3.1415927
0,0.56556609,1.5707963,2.5760266,3.1415927
0,0.56301903,1.5594962,2.5785736,3.1415927
0,0.56052722,1.5707963,2.5810654,3.1415927
0,0.55808853,1.5598667,2.5835041,3.1415927
0,0.55570099,1.2290567,1.912536,2.5858917,3.1415927
0,0.5533627,1.2225033,1.9190893,2.58823,3.1415927
0,0.55107188,1.2410338,1.9005588,2.5905208,3.1415927
